line,character,dialogue,episode
1,SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. We re starting our approach. Deactivate the security shield.",VI
2,DEATH STAR CONTROLLER,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.,VI
3,SHUTTLE CAPTAIN,We re starting our approach.,VI
4,OFFICER,Inform the commander that Lord Vader s shuttle has arrived.,VI
5,OPERATOR,"Yes, sir.",VI
6,JERJERROD,"Lord Vader, this is an unexpected pleasure.  We re honored by your presence.",VI
7,VADER,"You may dispense with the pleasantries, Commander. I m here to put you back on schedule.",VI
8,JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can.",VI
9,VADER,Perhaps I can find new ways to motivate them.,VI
10,JERJERROD,"I tell you, this station will be operational as planned.",VI
11,VADER,The Emperor does not share your optimistic appraisal of the situation.,VI
12,JERJERROD,But he asks the impossible. I need more men.,VI
13,VADER,Then perhaps you can tell him when he arrives.,VI
14,JERJERROD,The Emperor s coming here?,VI
15,VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress.",VI
16,JERJERROD,We shall double our efforts.,VI
17,VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.",VI
18,THREEPIO,"Of course I m worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.",VI
19,THREEPIO,"Don t be so sure. If I told you half the things I ve heard about this Jabba the Hutt, You d probably short-circuit.",VI
20,THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose.",VI
21,THREEPIO,There doesn t seem to be anyone there. Let s go back and tell Master Luke.,VI
22,STRANGE VOICE,Tee chuta hhat yudd!,VI
23,THREEPIO,Goodness gracious me!,VI
24,THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,VI
25,THREEPIO,"I don t think they re going to let us in, Artoo. We d better go.",VI
26,THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don t think we should rush into all this.",VI
27,THREEPIO,"Oh, Artoo!  Artoo, wait for me!",VI
28,THREEPIO,"Just you deliver Master Luke s message and get us out of here. Oh my! Oh! Oh, no.",VI
29,BIB,Die Wanna Wanga!,VI
30,THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt.",VI
31,THREEPIO,"... and a gift.  Gift, what gift?",VI
32,BIB,Nee Jabba no badda. Me chaade su goodie.,VI
33,THREEPIO,He says that our instructions are to give it only to Jabba himself.,VI
34,THREEPIO,I m terribly sorry. I m afraid he s ever so stubborn about these sort of things.,VI
35,BIB,Nudd Chaa.,VI
36,THREEPIO,"Artoo, I have a bad feeling about this.",VI
37,THREEPIO,Good morning.,VI
38,JABBA,Bo Shuda!,VI
39,THREEPIO,"The message, Artoo, the message.",VI
40,LUKE,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo s life.  With your wisdom, I m sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids.",VI
41,THREEPIO,What did he say?,VI
42,LUKE,... Both are hardworking and will serve you well.,VI
43,THREEPIO,"This can t be! Artoo, you re playing the wrong message.",VI
44,JABBA,There will be no bargain.,VI
45,THREEPIO,We re doomed.,VI
46,JABBA,I will not give up my favorite decoration. I like Captain Solo where he is.,VI
47,THREEPIO,"Artoo, look! Captain Solo. And he s still frozen in carbonite.",VI
48,THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!,VI
49,NINEDENINE,"Ah, good. New acquisitions. You are a protocol droid, are you not?",VI
50,THREEPIO,"I am See-Threepio, human-cy...",VI
51,NINEDENINE,Yes or no will do.,VI
52,THREEPIO,"Oh. Well, yes.",VI
53,NINEDENINE,How many languages do you speak?,VI
54,THREEPIO,"I am fluent in over six million forms of communication, and can readily...",VI
55,NINEDENINE,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.,VI
56,THREEPIO,Disintegrated?,VI
57,NINEDENINE,Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency s main audience chamber.,VI
58,THREEPIO,"Artoo, don t leave me! Ohhh!",VI
59,NINEDENINE,"You re a feisty little one, but you ll soon learn some respect. I have need for you on the master s Sail Barge. And I think you ll fit in nicely.",VI
60,JABBA,Da Eitha!,VI
61,OOLA,Na Chuba negatorie Na! Na! Natoota...,VI
62,JABBA,Boscka!,VI
63,BOUSHH,I have come for the bounty on this Wookiee.,VI
64,THREEPIO,"Oh, no! Chewbacca!",VI
65,JABBA,At last we have the mighty Chewbacca.,VI
66,THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!",VI
67,THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,VI
68,BOUSHH,I want fifty thousand. No less.,VI
69,THREEPIO,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand.",VI
70,THREEPIO,Because he s holding a thermal detonator.,VI
71,JABBA,This bounty hunter is my kind of scum. Fearless and inventive.,VI
72,THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.,VI
73,BOUSHH,Zeebuss.,VI
74,THREEPIO,He agrees!,VI
75,BOUSHH,Just relax for a moment. You re free of the carbonite.,VI
76,BOUSHH,Shhh. You have hibernation sickness.,VI
77,HAN,I can t see.,VI
78,BOUSHH,You eyesight will return in time.,VI
79,HAN,Where am I?,VI
80,BOUSHH,Jabba s palace.,VI
81,HAN,Who are you?,VI
82,LEIA,Someone who loves you.,VI
83,HAN,Leia!,VI
84,LEIA,I gotta get you out of here.,VI
85,HAN,What s that? I know that laugh.,VI
86,HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It s not my fault.",VI
87,JABBA,"It s too late for that, Solo. You may have been a good smuggler, but now you re Bantha fodder.",VI
88,HAN,Look...,VI
89,JABBA,Take him away!,VI
90,HAN,Jabba... I ll pay you triple! You re throwing away a fortune here. Don t be a fool!,VI
91,JABBA,Bring her to me.,VI
92,LEIA,We have powerful friends. You re gonna regret this...,VI
93,JABBA,I m sure.,VI
94,LEIA,Ugh!,VI
95,THREEPIO,"Ohhh, I can t bear to watch.",VI
96,HAN,"Chewie? Chewie, is that you?",VI
97,HAN,Ah! Chew--Chewie!,VI
98,HAN,"Wait. I can t see, pal. What s goin  on?",VI
99,HAN,"Luke? Luke s crazy. He can t even take care of himself, much less rescue anybody.",VI
100,HAN,"A...Jedi Knight? I--I m out of it for a little while, everybody gets delusions of grandeur.",VI
101,HAN,"I m all right, pal. I m all right.",VI
102,LUKE,I must speak with Jabba.,VI
103,LUKE,You will take me to Jabba now!,VI
104,LUKE,You serve your master well.,VI
105,LUKE,And you will be rewarded.,VI
106,THREEPIO,At last! Master Luke s come to rescue me.,VI
107,BIB,Master.,VI
108,BIB,"...Luke Skywalker, Jedi Knight.",VI
109,JABBA,I told you not to admit him.,VI
110,LUKE,I must be allowed to speak.,VI
111,BIB,He must be allowed to speak.,VI
112,JABBA,You weak-minded fool! He s using an old Jedi mind trick.,VI
113,LUKE,You will bring Captain Solo and the Wookiee to me.,VI
114,JABBA,"Your mind powers will not work on me, boy.",VI
115,LUKE,"Nevertheless, I m taking Captain Solo and his friends. You can either profit by this... or be destroyed! It s your choice. But I warn you not to underestimate my powers.",VI
116,THREEPIO,"Master Luke, you re standing on...",VI
117,JABBA,"There will be no bargain, young Jedi. I shall enjoy watching you die.",VI
118,JABBA,Bascka!,VI
119,THREEPIO,"Oh, no! The Rancor!",VI
120,JABBA,Bring me Solo and the Wookiee. They will all suffer for this outrage.,VI
121,LUKE,Han!,VI
122,HAN,Luke!,VI
123,LUKE,Are you all right?,VI
124,HAN,"Fine. Together again, huh?",VI
125,LUKE,Wouldn t miss it.,VI
126,HAN,How are we doing?,VI
127,LUKE,The same as always.,VI
128,HAN,"That bad, huh? Where s Leia?",VI
129,LEIA,I m here.,VI
130,THREEPIO,"Oh, dear. His High Exaltedness, the great Jabba the Hutt, has decreed that you are to be terminated immediately.",VI
131,HAN,"Good, I hate long waits.",VI
132,THREEPIO,"You will therefore be taken to the Dune Sea and cast into the pit of Carkoon, the nesting place of the all-powerful Sarlacc.",VI
133,HAN,Doesn t sound so bad.,VI
134,THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years.",VI
135,HAN,"On second thought, let s pass on that, huh?",VI
136,LUKE,"You should have bargained, Jabba. That s the last mistake you ll ever make.",VI
137,HAN,"I think my eyes are getting better. Instead of a big dark blur, I see a big light blur.",VI
138,LUKE,"There s nothing to see. I used to live here, you know.",VI
139,HAN,"You re gonna die here, you know. Convenient.",VI
140,LUKE,Just stick close to Chewie and Lando. I ve taken care of everything.,VI
141,HAN,Oh... great!,VI
142,JABBA,Soon you will learn to appreciate me.,VI
143,THREEPIO,"Oh, I m terribly sor... Artoo! What are you doing here?",VI
144,THREEPIO,"Well, I can see you re serving drinks, but this place is dangerous. They re going to execute Master Luke and, if we re not careful, us too!",VI
145,THREEPIO,Hmm.  I wish I had your confidence.,VI
146,THREEPIO,"Victims of the almighty Sarlacc: His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas.",VI
147,HAN,"Threepio, you tell that slimy piece of... worm-ridden filth he ll get no such pleasure from us. Right?",VI
148,LUKE,Jabba! This is your last chance. Free us or die.,VI
149,JABBA,Move him into position.,VI
150,JABBA,Put him in.,VI
151,LUKE,"Easy, Chewie.",VI
152,LANDO,Whoa! Whoa! Help!,VI
153,HAN,"Chewie, you okay? Where is he?",VI
154,HAN,"I m okay, pal.",VI
155,LANDO,Han! Chewie?,VI
156,HAN,Lando!,VI
157,HAN,Boba Fett?! Boba Fett?! Where?,VI
158,HAN,"Lando, grab it!",VI
159,LANDO,Lower it!,VI
160,HAN,I m trying!,VI
161,HAN,"Whoa! Whoa! Grab me, Chewie! I m slipping.",VI
162,HAN,Grab it! L--Lando. Grab!,VI
163,HAN,Grab it! Almost... You almost got it!,VI
164,LANDO,Hold it! Whoa!,VI
165,HAN,"Gently now. All... all right. Now easy, easy. Hold me, Chewie.",VI
166,HAN,"Chewie! Chewie, give me the gun. Don t move, Lando.",VI
167,LANDO,"No, wait! I thought you were blind!",VI
168,HAN,It s all right. Trust me. Don t move.,VI
169,LANDO,All right! A little higher! Just a little higher!,VI
170,HAN,"Chewie, Pull us up! Come on! Okay... up, Chewie, up!",VI
171,LEIA,Come on. We gotta get out of here quick.,VI
172,THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!",VI
173,LUKE,Get the gun! Point it at the deck!,VI
174,LUKE,Point it at the deck!,VI
175,THREEPIO,"Artoo, where are we going? I couldn t possibly jump.",VI
176,LUKE,Come on!,VI
177,LUKE,Let s go! And don t forget the droids.,VI
178,LANDO,We re on our way.,VI
179,HAN,I don t know. All I can see is a lot of blowing sand!,VI
180,LEIA,That s all any of us can see.,VI
181,HAN,Then I guess I m getting better.,VI
182,HAN,"I ve got to hand it to you, kid, you were pretty good out there.",VI
183,LUKE,I had a lot of help. Think nothing of it.,VI
184,HAN,"No, I m thinking a lot about it. That carbon freeze was the closest thing to dead there is. And it wasn t just sleepin . It was a big wide awake nothing!",VI
185,LUKE,I ll see you back at the fleet.,VI
186,HAN,Why don t you leave that crate and come with us?,VI
187,LUKE,I have a promise I have to keep first... to an old friend.,VI
188,HAN,"Guess I owe you some thanks, too, Lando.",VI
189,LANDO,"Figured if I left you frozen like that you d just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later.",VI
190,LEIA,He means \ You re welcome.\ ,VI
191,LANDO,"Come on, let s get off this miserable dust ball.",VI
192,LUKE,I ll meet you back at the fleet.,VI
193,LEIA,Hurry. The Alliance should be assembled by now.,VI
194,LUKE,I will.,VI
195,HAN,"Hey, Luke, thanks. Thanks for comin  after me. Now I owe you one.",VI
196,LUKE,"That s right, Artoo. We re going to the  Dagobah system. I have a promise to keep...  to an old friend.",VI
197,EMPEROR,"Rise, my friend.",VI
198,VADER,The Death Star will be completed on schedule.,VI
199,EMPEROR,"You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.",VI
200,VADER,"Yes, my Master.",VI
201,EMPEROR,"Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown strong. Only together can we turn him to the dark side of the Force.",VI
202,VADER,As you wish.,VI
203,EMPEROR,Everything is proceeding as I have foreseen.,VI
204,YODA,Hmm. That face you make. Look I so old to young eyes?,VI
205,LUKE,No... of course not.,VI
206,YODA,"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?",VI
207,YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have.",VI
208,LUKE,"Master Yoda, you can t die.",VI
209,YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,VI
210,LUKE,But I need your help. I ve come back to complete the training.,VI
211,YODA,No more training do you require. Already know you that which you need.,VI
212,LUKE,Then I am a Jedi?,VI
213,YODA,"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.",VI
214,LUKE,Master Yoda... is Darth Vader my father?,VI
215,YODA,Mmm... rest I need. Yes... rest.,VI
216,LUKE,"Yoda, I must know.",VI
217,YODA,Your father he is.,VI
218,YODA,"Told you, did he?",VI
219,LUKE,Yes.,VI
220,YODA,"Unexpected this is, and unfortunate..",VI
221,LUKE,Unfortunate that I know the truth?,VI
222,YODA,No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.,VI
223,LUKE,"Well, I m sorry.",VI
224,YODA,"Remember, a Jedi s strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny.",VI
225,YODA,"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father s fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker.",VI
226,LUKE,"I can t do it, Artoo. I can t go on alone.",VI
227,BEN,Yoda will always be with you.,VI
228,LUKE,Obi-Wan! Why didn t you tell me?,VI
229,LUKE,You told me Vader betrayed and murdered my father.,VI
230,BEN,"You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view.",VI
231,LUKE,A certain point of view!,VI
232,BEN,"Luke, you re going to find that many of the truths we cling to depend greatly on our own point of view.",VI
233,BEN,"I don t blame you for being angry. If I was wrong in what I did, it certainly wouldn t have been for the first time. You see, what happened to your father was my fault.",VI
234,BEN,Anakin was a good friend.,VI
235,BEN,"When I first knew him, your father was already a great pilot. But I was amazed how strongly the Force was with him.  I took it upon myself to train him as a Jedi.  I thought that I could instruct him just as well as Yoda.  I was wrong.  My pride has had terrible consequences for the galaxy.",VI
236,LUKE,There s still good in him.,VI
237,BEN,I also thought he could be turned back to the good side. It couldn t be done. He is more machine now than man. Twisted and evil.,VI
238,LUKE,"I can t do it, Ben.",VI
239,BEN,You cannot escape your destiny.,VI
240,LUKE,I tried to stop him once. I couldn t do it.,VI
241,BEN,"Vader humbled you when first you met him, Luke...but that experience was part of your training. It taught you, among other things, the value of patience.  Had you not been so impatient to defeat Vader then, you could have finished your training here with Yoda. You would have been prepared.",VI
242,LUKE,But I had to help my friends.,VI
243,BEN,"And did you help them? It was they who had to save you. You achieved little by rushing back prematurely, I fear.",VI
244,LUKE,I found out Darth Vader was my father.,VI
245,BEN,"To be a Jedi, Luke, you must confront and then go beyond the dark side - the side your father couldn t get past. Impatience is the easiest door - for you, like your father. Only, your father was seduced by what he found on the other side of the door, and you have held firm. You re no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!",VI
246,LUKE,I can t kill my own father.,VI
247,BEN,Then the Emperor has already won. You were our only hope.,VI
248,LUKE,Yoda spoke of another.,VI
249,BEN,The other he spoke of is your twin sister.,VI
250,LUKE,But I have no sister.,VI
251,BEN,"Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous.",VI
252,LUKE,Leia! Leia s my sister.,VI
253,BEN,"Your insight serves you well. Bury your feelings deep down, Luke. They do you credit. But they could be made to serve the Emperor.",VI
254,BEN,"When your father left, he didn t know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  So I took you to live with my brother Owen on Tatooine... and your mother took Leia to live as the daughter of Senator Organa, on Alderaan.",VI
255,BEN,"The Organa household was high-born and politically quite powerful in that system. Leia became a princess by virtue of lineage... no one knew she d been adopted, of course. But it was a title without real power, since Alderaan had long been a democracy.  Even so, the family continued to be politically powerful, and Leia, following in her foster father s path, became a senator as well.  That s not all she became, of course... she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link for getting information to the Rebel cause.  That s what she was doing when her path crossed yours... for her foster parents had always told her to contact me on Tatooine, if her troubles became desperate.",VI
256,LUKE,"But you can t let her get involved now, Ben. Vader will destroy her.",VI
257,BEN,"She hasn t been trained in the ways of the Jedi the way you have, Luke ... but the Force is strong with her, as it is with all of your family. There is no avoiding the battle. You must face and destroy Vader!",VI
258,HAN,"Well, look at you, a general, huh?",VI
259,LANDO,"Oh, well, someone must have told them about my little maneuver at the battle of Taanab.",VI
260,HAN,"Well, don t look at me, pal. I just said you were a fair pilot. I didn t know they were lookin  for somebody to lead this crazy attack.",VI
261,LANDO,I m surprised they didn t ask you to do it.,VI
262,HAN,"Well, who says they didn t.  But I ain t crazy. You re the respectable one, remember?",VI
263,MON MOTHMA,The Emperor has made a critical error and the time for our attack has come.,VI
264,MON MOTHMA,"The data brought to us by the Bothan spies pinpoints the exact location of the Emperor s new battle station. We also know that the weapon systems of this Death Star are not yet operational. With the Imperial Fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. But most important of all, we ve learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star.",VI
265,MON MOTHMA,"Many Bothans died to bring us this information. Admiral Ackbar, please.",VI
266,ACKBAR,"You can see here the Death Star orbiting the forest Moon of Endor. Although the weapon systems on this Death Star are not yet operational, the Death Star does have a strong defense mechanism. It is protected by an energy shield, which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor.",VI
267,ACKBAR,General Calrissian has volunteered to lead the fighter attack,VI
268,HAN,Good luck.,VI
269,HAN,You re gonna need it.,VI
270,ACKBAR,General Madine.,VI
271,GENERAL MADINE,"We have stolen a small Imperial shuttle. Disguised as a cargo ship, and using a secret Imperial code, a strike team will land on the moon and deactivate the shield generator.",VI
272,THREEPIO,Sounds dangerous.,VI
273,LEIA,I wonder who they found to pull that off.,VI
274,GENERAL MADINE,"General Solo, is your strike team assembled?",VI
275,HAN,"Uh, my team s ready. I don t have a command crew for the shuttle.",VI
276,HAN,"Well, it s gonna be rough, pal. I didn t want to speak for you.",VI
277,HAN,That s one.,VI
278,LEIA,"Uh, General... count me in.",VI
279,VOICE,"I m with you, too!",VI
280,LEIA,What is it?,VI
281,LUKE,Ask me again sometime.,VI
282,HAN,Luke.,VI
283,LUKE,"Hi, Han... Chewie.",VI
284,THREEPIO,\ Exciting\  is hardly the word I would use.,VI
285,HAN,Look. I want you to take her. I mean it. Take her. You need all the help you can get. She s the fastest ship in the fleet.,VI
286,LANDO,"All right, old buddy. You know, I know what she means to you. I ll take good care of her. She-she won t get a scratch. All right?",VI
287,HAN,Right. I got your promise now. Not a scratch.,VI
288,LANDO,"Look, would you get going, you pirate.",VI
289,LANDO,Good luck.,VI
290,HAN,"You, too.",VI
291,HAN,You got her warmed?,VI
292,LUKE,"Yeah, she s comin  up.",VI
293,HAN,"No. I don t think the Empire had Wookiees in mind when they designed her, Chewie.",VI
294,LEIA,"Hey, are you awake?",VI
295,HAN,"Yeah, I just got a funny feeling. Like I m not gonna see her again.",VI
296,LEIA,"Come on, General, let s move.",VI
297,HAN,"Right. Chewie, let s see what this piece of junk can do. Ready, everybody?",VI
298,LUKE,All set.,VI
299,THREEPIO,Here we go again.,VI
300,HAN,"All right, hang on.",VI
301,VADER,"What is thy bidding, my Master?",VI
302,EMPEROR,Send the fleet to the far side of Endor. There it will stay until called for.,VI
303,VADER,What of the reports of the Rebel fleet massing near Sullust?,VI
304,EMPEROR,"It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is finished, my friend. Go out to the command ship and await my orders.",VI
305,VADER,"Yes, my Master.",VI
